timestamp,latitude,longitude,location_name,temperature_c,relative_humidity,heat_index_c,risk_level,band
2026-09-24T10:07:57.096800+00:00,33.440266,-112.06021,"Phoenix, USA",28.8,36,28.1,Moderate,Caution
2026-09-24T10:08:11.837690+00:00,33.440266,-112.06021,"Phoenix, USA",28.8,36,28.1,Moderate,Caution
2026-09-24T10:08:17.514308+00:00,25.202108,55.302376,"Dubai, UAE",36.4,53,45.7,Extreme,Danger
2026-09-24T10:08:23.197661+00:00,25.06151,55.183193,Current Location,37.0,46,43.8,Extreme,Danger
2026-09-24T10:08:32.334651+00:00,25.06151,55.183193,Current Location,37.0,46,43.8,Extreme,Danger
2026-09-24T10:08:38.934184+00:00,25.06151,55.183193,Current Location,37.0,46,43.8,Extreme,Danger
2026-09-24T10:08:42.655794+00:00,25.06151,55.183193,Current Location,37.0,46,43.8,Extreme,Danger
2026-09-24T10:08:49.977903+00:00,25.06151,55.183193,Current Location,37.0,46,43.8,Extreme,Danger
2026-09-24T10:13:31.881416+00:00,25.06151,55.183193,Current Location,37.0,46,43.8,Extreme,Danger
2026-09-24T10:13:54.663274+00:00,25.06151,55.183193,Current Location,37.0,46,43.8,Extreme,Danger
2026-09-24T10:14:06.254081+00:00,25.06151,55.183193,Current Location,37.0,46,43.8,Extreme,Danger
2026-09-24T10:14:07.971364+00:00,25.06151,55.183193,Current Location,37.0,46,43.8,Extreme,Danger
2026-09-24T10:14:20.220664+00:00,25.06151,55.183193,Current Location,37.0,46,43.8,Extreme,Danger
2026-09-24T10:14:27.490417+00:00,25.06151,55.183193,Current Location,37.0,46,43.8,Extreme,Danger
2026-09-24T10:18:57.357062+00:00,33.440266,-112.06021,"Phoenix, USA",28.6,36,27.9,Moderate,Caution
2026-09-24T10:19:12.889010+00:00,25.202108,55.302376,"Dubai, UAE",36.3,55,46.4,Extreme,Danger
2026-09-24T10:19:18.831124+00:00,25.202108,55.302376,"Dubai, UAE",36.3,55,46.4,Extreme,Danger
2026-09-24T10:22:45.185951+00:00,33.440266,-112.06021,"Phoenix, USA",28.6,36,27.9,Moderate,Caution
2026-09-24T10:22:49.253227+00:00,25.202108,55.302376,"Dubai, UAE",36.3,55,46.4,Extreme,Danger
2026-09-24T10:22:49.560585+00:00,25.06151,55.183193,Current Location,36.7,48,44.0,Extreme,Danger
2026-09-24T10:22:52.633168+00:00,25.06151,55.183193,Current Location,36.7,48,44.0,Extreme,Danger
2026-09-24T10:25:21.101307+00:00,33.440266,-112.06021,"Phoenix, USA",28.6,36,27.9,Moderate,Caution
2026-09-24T10:25:24.797624+00:00,33.440266,-112.06021,"Phoenix, USA",28.6,36,27.9,Moderate,Caution
2026-09-24T10:25:29.201040+00:00,25.202108,55.302376,"Dubai, UAE",36.3,55,46.4,Extreme,Danger
2026-09-24T10:25:30.419023+00:00,25.06151,55.183193,Current Location,36.7,48,44.0,Extreme,Danger
2026-09-24T10:25:34.421580+00:00,24.710016,46.688103,"Riyadh, Saudi Arabia",42.0,6,37.6,High,Extreme Caution
2026-09-24T10:25:37.526719+00:00,28.717047,77.054794,"Delhi, India",34.0,43,36.2,High,Extreme Caution
2026-09-24T10:25:48.706894+00:00,24.710016,46.688103,"Riyadh, Saudi Arabia",42.0,6,37.6,High,Extreme Caution
2026-09-24T10:25:53.268775+00:00,36.16438,-115.14392,"Las Vegas, USA",22.0,24,20.9,Low,Normal
2026-09-24T10:26:08.792223+00:00,13.110721,80.2459,"Chennai, India",31.0,65,36.2,High,Extreme Caution
2026-09-24T10:26:16.373435+00:00,25.06151,55.183193,Current Location,36.7,48,44.0,Extreme,Danger
